# ma sinh vien; ma mon hoc; diem
SV01135;011;8.13
SV00859;008;7.49
SV01458;004;5.75
SV01644;002;7.53
SV00121;007;8.36
SV01231;016;9.00
SV00680;009;4.11
SV01613;005;9.49
SV01124;008;9.28
SV01516;006;6.08
SV02021;002;9.70
SV01639;010;9.58
SV00090;006;6.95
SV01757;018;5.85
SV01521;006;7.16
SV01824;017;4.56
SV00923;004;9.81
SV01662;008;5.77
SV01905;001;4.27
SV00474;008;8.34
SV01155;006;9.23
SV00714;006;5.29
SV00682;017;6.55
SV00804;004;4.60
SV00987;003;7.40
SV00676;005;5.05
SV00535;008;8.30
SV00589;010;9.54
SV01041;017;6.33
SV00656;013;8.94
SV00016;017;4.50
SV01053;006;8.07
SV01341;015;4.87
SV00626;018;6.00
SV00178;004;6.41
SV01884;006;7.48
SV01015;008;6.87
SV01898;014;4.08
SV01320;016;7.34
SV02119;017;9.31
SV00584;003;9.40
SV01954;010;4.67
SV00851;005;6.91
SV01772;005;4.42
SV01065;007;6.75
SV01808;004;9.95
SV00145;003;4.94
SV00321;005;4.11
SV00219;004;7.99
SV00422;006;9.58
SV00128;006;9.07
SV00776;015;7.16
SV01877;008;6.72
SV00852;007;4.10
SV01002;010;8.65
SV01991;005;8.83
SV00417;006;5.41
SV00145;004;9.47
SV01342;007;4.56
SV01475;009;8.93
SV01430;002;6.29
SV01828;005;4.82
SV01368;011;7.30
SV01211;002;7.15
SV00991;009;5.46
SV00751;005;9.50
SV01916;008;7.30
SV00655;013;9.77
SV00174;014;7.64
SV00516;006;5.65
SV01860;016;9.91
SV01646;016;5.35
SV01054;015;8.19
SV00638;002;6.88
SV00737;004;9.18
SV00070;004;8.84
SV00112;010;8.52
SV01492;005;4.92
SV01470;008;9.06
SV01304;003;4.98
SV01853;016;7.39
SV01841;009;6.03
SV01386;005;9.03
SV00526;014;4.03
SV01332;013;8.97
SV01038;009;6.73
SV01738;008;4.46
SV01779;006;4.16
SV01003;006;6.38
SV01304;009;8.92
SV01473;017;7.30
SV01424;007;7.30
SV00662;010;4.30
SV01287;018;6.39
SV01521;005;9.90
SV02011;003;9.97
SV02017;005;4.96
SV01290;001;6.76
SV00396;002;7.23
SV01844;007;4.36
SV02139;009;8.88
SV01863;007;8.10
SV00692;008;7.98
SV00844;013;7.46
SV00371;014;4.12
SV01382;009;9.30
SV01430;010;5.71
SV00388;003;9.49
SV00287;004;6.89
SV01511;004;5.41
SV01246;003;6.58
SV00724;011;6.12
SV00693;004;7.64
SV00268;017;4.96
SV02009;002;4.62
SV01877;007;7.73
SV00577;017;4.20
SV00911;002;6.11
SV01950;017;5.68
SV00282;007;5.62
SV00300;002;5.22
SV00979;010;7.46
SV01891;017;4.23
SV01165;010;5.89
SV01507;005;7.99
SV00044;005;7.77
SV00267;010;9.43
SV01002;001;7.72
SV02088;008;7.71
SV01563;008;5.26
SV01959;015;7.39
SV00228;005;7.66
SV00572;004;5.94
SV00003;007;4.95
SV00176;015;9.89
SV00304;015;9.87
SV00645;002;4.16
SV02044;005;9.74
SV00436;008;4.96
SV00978;008;8.77
SV01675;009;5.06
SV00216;003;5.53
SV01156;015;9.86
SV01814;017;9.17
SV01740;015;8.20
SV00964;017;7.88
SV01660;016;4.71
SV01595;006;8.73
SV01522;004;9.20
SV00986;002;9.08
SV01073;008;5.48
SV01421;009;7.21
SV00136;005;8.23
SV01072;002;6.94
SV00952;004;8.85
SV01225;004;7.25
SV01093;002;8.86
SV00796;008;8.16
SV01095;003;4.05
SV00488;011;5.41
SV00376;008;8.43
SV01453;015;4.55
SV01754;004;7.36
SV01181;013;5.03
SV00317;013;7.30
SV02016;008;7.02
SV01172;008;5.19
SV01924;017;5.14
SV00371;013;8.21
SV01377;005;6.01
SV00932;005;4.74
SV02004;007;5.42
SV00979;002;8.89
SV02066;014;4.89
SV01085;005;5.39
SV00618;011;5.53
SV01383;004;4.84
SV01718;014;4.01
SV00459;018;4.72
SV01304;004;6.83
SV01409;007;5.31
SV00325;017;9.13
SV00878;018;9.73
SV00262;014;7.03
SV02156;006;7.29
SV01409;009;9.62
SV00500;004;9.70
SV01029;018;4.40
SV01738;007;4.73
SV01528;007;5.66
SV00008;007;4.24
SV02035;009;4.44
SV00547;005;5.08
SV01931;010;9.70
SV00934;009;8.08
SV01070;013;9.85
SV00389;003;7.31
SV00853;008;7.26
SV01260;003;6.98
SV00722;010;4.71
SV01771;016;7.25
SV01959;008;6.34
SV01998;005;8.14
SV00196;007;6.52
SV00028;017;5.88
SV00763;018;7.54
SV00189;005;7.90
SV01777;006;6.76
SV01238;015;9.60
SV01201;003;5.97
SV01510;004;5.52
SV01238;004;5.00
SV00301;004;4.01
SV01536;004;5.64
SV00504;004;8.52
SV00964;004;6.26
SV00317;016;9.27
SV00865;016;9.44
SV00923;002;4.00
SV00820;011;7.69
SV01770;007;8.82
SV01170;016;7.22
SV00713;008;6.08
SV01839;004;4.26
SV02105;007;6.60
SV01330;013;4.84
SV02123;002;4.34
SV00777;004;8.85
SV01689;001;4.53
SV01846;013;4.78
SV01864;017;7.47
SV02072;018;9.19
SV01011;002;6.61
SV00559;009;8.03
SV01574;005;9.19
SV01458;014;8.45
SV01548;006;6.28
SV00260;002;5.32
SV02091;003;7.96
SV00750;001;9.61
SV00134;005;9.45
SV00417;005;9.12
SV01945;013;9.92
SV00002;003;8.16
SV00044;007;7.98
SV01536;008;9.75
SV02116;014;7.82
SV01085;009;7.00
SV00860;003;9.37
SV01844;008;9.16
SV00069;009;4.62
SV00718;017;9.61
SV00108;007;6.26
SV00949;001;6.27
SV01898;018;9.39
SV00593;017;5.43
SV01736;003;9.29
SV00669;015;8.18
SV01952;004;9.31
SV01372;005;9.12
SV00171;013;6.58
SV01854;013;4.27
SV01529;008;4.14
SV01669;017;4.84
SV01727;011;5.98
SV01718;013;5.04
SV01553;005;5.56
SV01085;001;6.18
SV01348;007;4.60
SV00966;011;4.98
SV00237;008;8.48
SV00170;003;5.57
SV00009;005;9.56
SV00781;008;4.43
SV00648;018;5.62
SV01890;003;7.41
SV00542;014;7.44
SV02093;005;8.30
SV00018;004;9.38
SV00678;006;4.19
SV00943;008;7.10
SV00247;009;4.71
SV01381;008;8.40
SV01465;003;8.79
SV01676;005;4.88
SV00424;017;5.41
SV00822;016;4.27
SV01523;008;5.78
SV01184;017;6.32
SV00667;008;5.66
SV01866;010;7.20
SV00916;003;4.11
SV01590;008;4.09
SV00197;007;9.60
SV00717;007;6.28
SV01799;008;8.87
SV01642;004;8.34
SV02056;018;4.88
SV00522;007;4.61
SV00664;015;4.20
SV00571;015;4.72
SV01606;008;8.08
SV01186;017;8.30
SV01416;014;7.58
SV01781;004;6.44
SV00900;006;5.02
SV00701;006;8.25
SV01383;018;9.90
SV01136;006;4.79
SV00929;001;4.45
SV02015;015;9.88
SV02021;005;5.72
SV02123;006;5.56
SV01458;018;7.41
SV00718;005;6.48
SV00513;009;4.14
SV01790;003;9.78
SV01451;007;9.42
SV00005;006;6.14
SV00804;011;6.04
SV01220;004;6.06
SV02150;003;9.37
SV01856;014;5.46
SV01550;003;5.10
SV00581;008;6.85
SV01520;003;9.56
SV01900;003;9.67
SV01826;004;8.35
SV02117;010;4.93
SV01266;011;6.24
SV01636;011;5.25
SV02050;006;9.19
SV00720;006;6.01
SV02163;006;9.78
SV01998;014;6.12
SV00615;016;8.99
SV01949;005;5.42
SV00921;002;7.04
SV00010;003;8.69
SV01598;011;7.27
SV01779;017;8.80
SV01194;006;8.83
SV01643;013;5.99
SV01781;011;5.29
SV01350;018;9.40
SV01839;009;4.03
SV00068;008;4.33
SV00503;002;9.26
SV00941;002;5.01
SV00101;002;7.75
SV01059;003;4.56
SV01665;005;6.26
SV00180;003;6.94
SV01888;016;8.43
SV01702;005;4.88
SV00485;009;6.02
SV01598;008;7.06
SV00324;004;5.40
SV00593;016;6.63
SV00647;001;4.93
SV00311;007;8.46
SV00271;005;9.83
SV01960;005;9.26
SV00046;015;4.63
SV00279;006;6.78
SV00610;004;9.52
SV01082;009;9.31
SV00745;018;7.33
SV01616;015;6.35
SV01795;008;6.84
SV01256;005;8.36
SV00692;006;5.01
SV01486;006;6.28
SV01970;011;6.06
SV00895;010;5.38
SV01777;007;7.51
SV01823;004;4.32
SV01906;005;6.58
SV00693;001;8.38
SV00156;011;9.88
SV00938;005;4.31
SV00197;018;6.24
SV00342;011;7.67
SV00149;016;7.17
SV01201;007;4.17
SV00528;003;6.38
SV01796;016;9.29
SV00084;006;6.56
SV01836;008;9.87
SV00050;004;4.13
SV01241;018;4.99
SV00921;006;9.21
SV01662;005;5.12
SV00844;016;4.91
SV01187;004;4.97
SV00479;001;6.56
SV00035;004;9.58
SV00534;013;6.24
SV00332;004;8.18
SV02076;002;4.44
SV00622;007;6.89
SV00125;008;9.00
SV01889;004;7.62
SV01960;014;9.67
SV00042;009;7.66
SV00853;007;9.08
SV00412;005;5.32
SV00104;005;9.90
SV00947;017;9.89
SV00364;009;5.21
SV00091;014;9.21
SV01172;002;8.28
SV01637;006;6.39
SV01924;003;8.93
SV01061;008;8.87
SV01894;005;5.29
SV01975;006;4.69
SV01723;015;7.74
SV01916;007;7.97
SV00737;003;4.14
SV01712;006;6.78
SV01864;004;8.64
SV00351;017;9.64
SV00270;006;4.95
SV02054;005;8.33
SV01093;010;5.76
SV00778;018;4.88
SV01254;017;6.87
SV02110;009;9.10
SV00872;018;9.29
SV01868;013;8.76
SV02082;003;7.73
SV01167;009;5.40
SV01860;004;5.93
SV00101;011;7.04
SV00111;010;6.75
SV02039;011;9.78
SV01394;006;9.46
SV00059;009;6.49
SV00934;004;7.86
SV00010;015;8.36
SV00904;013;9.88
SV00444;004;8.73
SV00773;002;8.95
SV01686;016;5.02
SV00808;014;4.02
SV01185;007;8.92
SV01582;004;4.28
SV01845;005;7.69
SV00393;007;7.38
SV00784;005;4.10
SV01653;004;6.84
SV00252;006;6.25
SV01117;008;9.20
SV02091;004;4.49
SV02093;017;4.45
SV01361;006;9.41
SV01128;004;9.31
SV00294;005;7.48
SV01429;008;4.81
SV00564;003;4.41
SV01192;006;8.29
SV02067;004;8.79
SV01769;008;4.76
SV01820;009;8.82
SV01104;004;9.06
SV00142;002;7.68
SV00634;003;7.52
SV00577;014;8.33
SV01654;011;6.52
SV01120;001;6.10
SV02163;008;5.54
SV01249;011;5.03
SV00181;002;7.10
SV01446;002;5.36
SV01080;004;7.59
SV01471;008;8.69
SV01600;015;5.14
SV01105;007;9.86
SV00992;004;5.24
SV00396;006;6.21
SV01717;003;6.51
SV00489;011;4.05
SV01320;008;7.73
SV00662;008;7.01
SV02069;006;4.80
SV01957;006;8.90
SV01611;003;5.22
SV01577;008;7.14
SV01270;017;8.70
SV00990;016;5.55
SV00811;016;8.37
SV00151;004;9.58
SV02050;009;8.58
SV01795;002;7.86
SV00347;001;6.83
SV00392;009;4.18
SV00388;014;6.80
SV01300;009;6.80
SV01980;005;7.21
SV01845;016;6.51
SV01643;015;5.74
SV01624;002;9.91
SV00101;006;8.40
SV00787;015;6.31
SV01827;018;8.15
SV00383;014;5.56
SV02017;003;5.25
SV00518;008;4.48
SV01022;005;6.00
SV01229;008;6.76
SV00016;007;9.11
SV01571;016;9.28
SV00219;014;9.56
SV00485;003;8.89
SV00694;008;5.77
SV00732;008;6.06
SV00799;006;9.55
SV00628;013;5.77
SV01877;001;8.79
SV01403;005;9.95
SV01217;005;4.07
SV02147;003;8.33
SV00594;013;6.66
SV00772;002;5.69
SV00307;014;4.37
SV00713;010;8.03
SV01015;005;8.30
SV00923;011;8.54
SV00578;005;7.98
SV00420;015;6.08
SV01588;015;4.47
SV01378;001;6.88
SV01959;014;8.93
SV00564;007;8.00
SV01575;002;9.66
SV00537;010;5.86
SV01909;010;8.69
SV01877;010;7.12
SV01311;005;9.17
SV01331;008;7.00
SV00125;007;5.26
SV01347;001;7.02
SV01890;007;9.35
SV01181;017;4.81
SV01064;005;5.33
SV00414;004;6.14
SV01777;011;4.84
SV02085;006;8.11
SV00047;007;9.21
SV01743;006;9.40
SV00304;008;4.57
SV01582;006;6.08
SV00422;013;8.40
SV01023;016;8.91
SV01209;008;7.50
SV00822;013;8.90
SV00583;008;6.84
SV00907;005;7.87
SV00763;016;6.91
SV00292;006;4.72
SV00287;014;4.42
SV00056;005;9.70
SV00518;005;9.55
SV00377;018;8.44
SV00061;011;6.10
SV00473;005;7.73
SV01545;006;5.75
SV01368;007;4.48
SV00572;009;9.86
SV00287;017;9.66
SV01493;007;6.74
SV00081;006;6.11
SV01342;011;7.04
SV01064;002;6.01
SV00303;010;6.95
SV01738;009;7.49
SV01226;015;5.93
SV01206;007;8.10
SV00280;008;8.55
SV01567;001;5.07
SV01257;007;9.78
SV00184;011;4.28
SV01331;001;9.61
SV01868;014;9.66
SV00808;007;9.53
SV01765;009;6.93
SV01767;003;9.14
SV00661;008;8.21
SV02014;004;8.52
SV02022;010;7.54
SV00702;007;5.10
SV01177;010;5.09
SV00453;009;5.06
SV01217;002;8.11
SV01892;005;8.82
SV00345;009;8.40
SV00736;007;8.49
SV02121;009;5.31
SV00621;016;9.53
SV02049;017;8.66
SV00423;013;6.01
SV02105;002;8.75
SV00538;003;7.39
SV00455;002;4.78
SV00917;002;8.85
SV00199;007;4.67
SV00721;013;4.89
SV01326;014;5.28
SV01888;003;8.87
SV01531;008;6.93
SV01156;006;9.38
SV02159;018;4.32
SV00901;011;6.18
SV00723;006;8.78
SV00722;011;7.51
SV02056;008;5.73
SV00195;007;6.30
SV00369;016;8.04
SV00638;009;5.73
SV00356;001;5.30
SV01815;005;8.67
SV01081;017;4.67
SV01499;002;7.76
SV01773;005;7.57
SV01260;018;6.45
SV01142;008;8.19
SV01884;008;8.03
SV00388;004;9.15
SV00150;011;6.78
SV01668;005;8.70
SV01891;005;4.74
SV02003;010;8.39
SV01493;015;5.68
SV00972;005;7.82
SV01223;004;9.83
SV01054;004;7.39
SV01577;004;6.13
SV01931;001;9.58
SV01601;003;7.39
SV02039;005;7.20
SV00740;010;5.92
SV00928;018;7.34
SV00011;001;7.16
SV00583;016;8.86
SV01792;001;7.54
SV00713;002;7.65
SV00360;004;9.26
SV00040;017;8.05
SV00187;006;8.53
SV01984;008;8.06
SV00733;005;7.54
SV01532;018;6.82
SV00720;011;8.12
SV01773;016;7.59
SV01894;018;5.00
SV01357;003;8.22
SV00657;004;8.01
SV00163;003;6.78
SV01690;006;6.77
SV01769;003;7.77
SV01133;007;4.59
SV00844;015;5.31
SV01391;015;5.18
SV01979;003;5.61
SV01384;011;5.22
SV01287;007;7.55
SV00120;003;8.26
SV01475;007;8.03
SV00525;013;5.09
SV01525;016;9.72
SV01536;018;9.24
SV01376;016;5.56
SV01791;006;8.01
SV01424;003;7.69
SV00020;016;8.10
SV01390;004;4.81
SV01614;011;8.65
SV01457;003;6.29
SV00916;016;9.31
SV01676;009;4.19
SV01736;007;8.64
SV00913;010;4.56
SV00899;003;6.68
SV00845;008;9.01
SV01783;011;9.21
SV01793;003;8.10
SV01179;004;8.94
SV01351;004;8.00
SV01942;014;6.73
SV01709;007;8.78
SV02055;002;4.93
SV01161;017;6.67
SV00304;016;5.58
SV00798;004;8.46
SV00420;018;5.78
SV00674;018;8.87
SV00070;018;7.52
SV01171;010;5.14
SV02049;005;4.61
SV01029;015;9.34
SV01024;007;4.71
SV01553;017;4.66
SV01690;008;7.72
SV01740;018;5.45
SV00520;004;9.41
SV00326;018;8.99
SV00870;003;8.19
SV02117;007;6.22
SV01981;007;4.64
SV00488;006;5.44
SV01622;011;5.85
SV00673;009;9.75
SV00543;008;7.55
SV01903;007;7.24
SV01839;003;5.11
SV01382;002;8.15
SV01544;007;5.04
SV02077;018;7.95
SV01497;014;4.75
SV01924;007;4.94
SV00963;007;9.30
SV00208;017;4.72
SV01548;004;5.26
SV01169;013;9.20
SV00037;009;4.89
SV01611;009;4.90
SV01430;006;9.09
SV01609;001;4.36
SV01255;006;9.26
SV00399;008;7.39
SV00600;011;6.24
SV01047;018;9.39
SV00656;018;8.88
SV00975;002;6.87
SV00329;011;8.94
SV00280;004;6.62
SV01664;011;6.03
SV01723;007;8.50
SV00370;008;5.04
SV02147;004;4.89
SV00435;017;9.18
SV00199;010;9.50
SV00787;008;8.52
SV01936;010;4.82
SV01465;008;4.13
SV01544;014;8.30
SV01934;008;5.27
SV01892;002;7.33
SV00892;008;9.42
SV01647;005;6.93
SV00976;014;6.19
SV01679;014;7.98
SV00093;007;6.33
SV01030;001;5.92
SV02146;005;9.00
SV00751;008;6.49
SV00474;011;4.05
SV01355;007;8.21
SV01120;004;5.67
SV01297;004;5.28
SV01186;016;4.61
SV01918;004;5.96
SV01041;013;5.91
SV00868;006;7.29
SV01888;008;5.45
SV00947;016;4.34
SV00306;007;8.79
SV00757;008;6.17
SV00403;001;6.67
SV00068;014;4.57
SV01473;006;4.61
SV01692;016;9.61
SV02111;008;7.62
SV00682;008;8.42
SV00777;010;6.81
SV01169;014;5.80
SV00093;008;5.02
SV02033;014;8.74
SV00054;017;5.35
SV01721;015;9.11
SV02146;018;4.72
SV00043;007;8.36
SV01453;003;8.90
SV02049;013;7.50
SV00622;014;6.49
SV01171;004;6.89
SV00667;001;5.70
SV01067;010;9.02
SV01220;016;7.13
SV01020;014;9.19
SV00724;001;7.35
SV01079;003;6.03
SV01656;003;9.17
SV02103;001;7.75
SV01206;004;5.12
SV01757;003;8.89
SV00512;006;4.67
SV01120;010;7.76
SV00570;003;9.71
SV01070;015;8.13
SV02128;009;9.81
SV00144;011;7.68
SV01913;009;4.73
SV01814;004;5.95
SV00725;018;7.76
SV01882;008;4.95
SV02030;011;4.14
SV01104;010;5.63
SV02147;008;9.26
SV00164;005;9.93
SV01164;016;6.08
SV01345;015;8.80
SV01760;007;5.83
SV00155;003;9.78
SV01064;011;5.57
SV01329;005;9.18
SV02016;010;5.45
SV00633;010;7.97
SV00043;005;6.51
SV00649;011;8.65
SV01743;005;5.35
SV00917;007;9.16
SV01194;007;6.97
SV00324;003;8.65
SV01790;015;5.78
SV00530;008;4.15
SV01378;002;9.69
SV00647;004;4.20
SV01311;015;6.90
SV01967;007;6.30
SV01631;018;6.95
SV00824;005;4.32
SV01145;010;4.35
SV00871;004;7.08
SV01820;002;5.87
SV00899;001;7.17
SV00482;002;5.93
SV01289;002;6.99
SV00149;017;6.77
SV00752;016;6.55
SV00652;004;7.69
SV02021;001;6.34
SV01420;006;8.63
SV00165;003;9.60
SV01058;007;9.95
SV00270;008;6.11
SV01892;001;7.49
SV00710;005;6.55
SV00564;016;7.11
SV01726;004;8.50
SV01714;003;7.63
SV01042;005;5.66
SV01002;011;6.49
SV01724;005;9.68
SV01338;007;9.32
SV01061;011;7.14
SV00732;007;8.23
SV01628;015;4.66
SV00135;008;6.86
SV01668;003;4.86
SV01917;002;7.91
SV00878;016;4.41
SV01761;002;6.33
SV01314;013;5.32
SV01649;002;8.33
SV00807;004;8.23
SV01856;004;5.73
SV01894;007;9.54
SV02028;016;8.11
SV00904;005;9.30
SV00567;006;7.04
SV00364;007;10.00
SV02070;018;7.72
SV00600;005;7.62
SV01158;005;6.01
SV00346;001;4.36
SV00560;005;7.37
SV00228;004;8.16
SV00593;004;6.95
SV01785;008;6.12
SV00534;005;4.80
SV00479;006;9.94
SV00544;011;9.38
SV00283;015;7.03
SV00097;015;6.18
SV01944;009;4.96
SV00776;005;6.67
SV00864;007;7.91
SV01567;011;8.28
SV01803;018;6.71
SV00481;011;7.32
SV00619;017;6.44
SV00793;010;7.91
SV01058;005;5.56
SV00017;006;6.83
SV00468;007;4.81
SV01080;006;7.52
SV00604;005;8.30
SV01212;003;5.44
SV01066;016;4.89
SV00850;009;7.75
SV01665;017;7.96
SV00229;017;5.74
SV01424;010;4.38
SV01012;003;5.61
SV00503;009;4.36
SV01445;010;5.99
SV01380;005;6.22
SV00795;005;4.88
SV01575;005;8.23
SV00641;002;4.55
SV02080;001;6.04
SV00666;008;7.61
SV01828;004;7.48
SV02046;002;8.55
SV01119;015;7.20
SV00450;008;9.77
SV01097;011;6.92
SV00504;003;8.90
SV01326;006;9.11
SV00758;003;4.96
SV00985;015;6.60
SV01798;009;8.70
SV01651;006;7.66
SV01616;018;5.39
SV00358;015;7.01
SV01776;007;6.57
SV00469;016;9.38
SV01212;002;8.82
SV01145;009;7.59
SV00450;015;6.12
SV01259;006;8.01
SV00409;003;5.74
SV01649;010;9.79
SV00068;016;4.22
SV00966;001;7.73
SV01376;017;4.49
SV00038;011;9.77
SV00338;003;8.87
SV01689;010;5.45
SV00836;003;4.24
SV01977;007;5.84
SV01005;006;8.14
SV01135;003;6.56
SV01588;016;7.25
SV01546;010;4.30
SV01390;005;8.82
SV02137;005;5.04
SV00163;004;6.41
SV00047;005;5.49
SV01628;013;6.45
SV01901;003;4.99
SV00916;004;8.25
SV00175;005;4.26
SV01233;014;6.59
SV01328;015;8.95
SV01066;005;5.09
SV02117;001;4.97
SV02059;013;7.81
SV00724;003;4.95
SV01831;015;6.50
SV00580;010;6.19
SV01527;006;9.99
SV01726;017;4.78
SV01103;016;5.97
SV01887;007;7.80
SV01431;013;5.05
SV01274;008;6.31
SV00820;010;9.15
SV00674;008;4.92
SV00944;002;8.03
SV01206;006;9.71
SV00228;010;9.69
SV00757;016;6.09
SV00649;004;5.79
SV00474;009;7.26
